gene_id,novel_isoform_count,gene_name
10:81333000,1,NA
10:81364000,1,NA
10:81426000,1,NA
10:81654000,1,NA
10:82486000,1,NA
10:83204000,1,NA
10:8329000,1,NA
10:84206000,1,NA
10:86673000,1,NA
12:3453000,1,NA
12:105458000,1,NA
12:35547000,1,NA
12:100877000,1,NA
12:101434000,1,NA
12:101800000,1,NA
12:101885000,1,NA
12:10210000,1,NA
12:103852000,1,NA
12:102707000,1,NA
12:102719000,1,NA
12:102741000,1,NA
12:102994000,1,NA
12:103408000,1,NA
12:103823000,1,NA
12:103846000,1,NA
12:110537000,1,NA
12:110760000,1,NA
12:17479000,1,NA
12:101005000,1,NA
12:100175000,1,NA
12:113036000,1,NA
11:99824000,1,NA
12:105667000,1,NA
12:105748000,1,NA
12:108168000,1,NA
12:104360000,1,NA
12:108505000,1,NA
12:108758000,1,NA
12:108782000,1,NA
12:108785000,1,NA
12:108825000,1,NA
12:10948000,1,NA
12:109860000,1,NA
12:104654000,1,NA
12:103858000,1,NA
12:110548000,1,NA
